engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
tiramisu,B1,en,tiramisu,"[tiramiso:´], [tiramisu:´]",Italian,"dessert som består av søt kake med blant annet kremost og sjokolade gjennombløtt med kaffe og for eksempel likør eller sterkvin",
Tuesday,A1,en,tirsdag,[ti:´ʃdag],,"den andre dagen i uka",Vi møtes alltid på tirsdag ettermiddag.
whisper,B2,verb,tiske,,,"hviske ivrig",
bitch,B2,ei,tispe,,,"hunndyr av hund, rev eller ulv; løsaktig kvinne, tøs",
pee,A2,et,tiss,,,"urin, piss",Jeg måtte tørke opp tiss fra gulvet.
pee,A2,verb,tisse,,,"urinere, late vannet, pisse",Kan du tisse før vi drar?
titan,B2,en,titan,[tita:´n],Greek,"overmenneske, kjempe; opprører, himmelstormer",
titanic,B2,adjective,titanisk,,Greek,"lidenskapelig, voldsom, mektig",
"look, glance",B1,en,titt,,,"(overflatisk) kontroll, rask gjennomgåing",Vil du ta en titt på potetene med det samme?
"look, glance",B1,verb,titte,,,"kaste et (raskt) blikk på, kikke, gløtte",Vil du titte på det jeg har gjort?
title,A2,en,tittel,,,"navn eller overskrift som kort antyder eller symboliserer innholdet av en tekst, et bilde eller lignende",Tittelen på boka fanget straks interessen min.
"carnival, amusement park",A2,et,tivoli,,Italian,"fornøyelsespark (med karusell, skytebane, lotterispill og lignende)",Vi hadde det gøy på tivoli i går.
tar,B2,ei,tjære,,Old Norse: tjara,"brunsvart, tyktflytende væske utvunnet av organiske stoffer som kull, torv, tre og oljeskifer",
tar,B2,verb,tjære,,Old Norse: tjara,tjærebre,
tar,C,verb,tjærebre,,Old Norse,stryke på tjære,
"earn, serve",A2,verb,tjene,[tje`nə],"Old Norse: þjóna, þéna","profittere; ha inntekt, motta penger for utført arbeid; være tilsatt; stille seg selv til disposisjon; fungere som",Han har jobbet hardt for å tjene til livets opphold.
servant,B1,en,tjener,,"Old Norse: þjóna, þéna","person som er ansatt i større hus for å oppvarte herskapet og sørge for praktiske gjøremål som å ta imot besøkende og vise dem til rette, servere og lignende",
"service, favor",A2,en,tjeneste,[tje:`nəstə],"Old Norse: þjónusta, þénesta","hjelp, bistand; arbeid, virke",Hun gjorde meg en stor tjeneste ved å hjelpe til med flyttingen.
public servant,B2,en,tjenestemann,,Old Norse,offentlig funksjonær som ikke er embetsmann,
twenty,A1,numeral,tjue,[çu:`ə],Old Norse: tjogu,"grunntallet 20",Hun blir tjue år i morgen.
twentieth,A1,adjective,tjuende,,Old Norse: tuttugti,ordenstall til 20 (20.),Det var en stor fest på den tjuende bursdagen hennes.
fatty,B2,en,"tjukkas, tykkas",[çu´k:as],,"tykk gutt eller mann; stor, tykk madrass som brukes til å lande på i sprangøvelser",
two,A1,numeral,to,[to:],Old Norse: tvá,"grunntallet 2",Jeg har to katter hjemme.
material,B2,en-et,to,,,"stoff, materiale; egenskaper, slag",
toilet,A1,et,toalett,[toale´t:],French,rom der en kan stelle seg,Hvor er toalettet?
toilet paper,A2,et,toalettpapir ,,French,papir til å tørke seg rundt endetarmsåpningen med,Vi må kjøpe mer toalettpapir snart.
tobacco,B1,en,tobakk,[toba´k:],Spanish: tabaco,nikotinholdig nytelsesmiddel fremstilt av blader av tobakksplanten og tilberedt slik at de kan røykes eller brukes som skrå eller snus,Lydia roter i skapet der tobakken til pappa pleier å ligge.
bench in a rowboat,C,ei,tofte,[tå`ftə],Old Norse: þopta,"tverrsete, tverrbenk i en (ro)båt",
tofu,B2,en,tofu,[to:´fu],Chinese via Japanese,ostelignende produkt av soyabønner; matvare laget av soyabønner,
"train, parade",A1,et,tog,[tå:g],German,følge av personer som går eller reiser i en bestemt hensikt; fremkomstmiddel,Toget til Bergen går om fem minutter.
toga,B2,en,toga,[tå:´ga],Latin,"kappelignende plagg båret av frie romere",Han sto i en teatralsk stilling midt inne i sin blå toga.
"march, take the train",C,verb,toge,[tå:`gə],German,"gå (høytidelig) i flokk; reise med tog, ta toget",Bryllupsgjestene toget ut av kirken. Alle sammen toget ovenpå.
train conductor,B2,en,togfører,,German,"konduktør som har ansvaret for toget mellom stasjonene",
"train company, train operator",B2,et,togselskap,,,selskap som driver togtrafikk,
trainset,B2,et,togsett,,German,tog med et visst antall ensartete vogner,
train attendant,B2,en,togvert,,German,"person som serverer mat til togpassasjerer",
bicameral system,C,et,tokammersystem,,Old Norse: tvá,"system med folkerepresentasjon i to kamre som er valgt hver for seg og treffer avgjørelser uavhenging av hverandre",
toxin,C,et,toksin,[tåksi:´n],Greek via Latin,"giftstoff av bakterier som danner motgift når det sprøytes inn i menneske- eller dyreorganisme",
toxic,B2,adjective,toksisk,,Greek via Latin,giftig; fremkalt av gift,
"fit, episode",B2,ei,tokt,,,"ri, anfall (av smerte, sykdom, raseri og lignende)",
tolerance,B2,en,toleranse ,,,"kirurgisk inngrep; virksomhet, flytting og gruppering av større troppestyrker; foretak, handling, arbeid",
tolerant,B2,adjective,tolerant,[tåləra´ŋ:],,"som har evne til å tåle; tålsom, fordragelig",
tolerate,B2,verb,tolerere,,,"finne seg i, (så vidt) tåle; tillate, se gjennom fingrene med","Hun var ikke velkommen, men hun ble tolerert."
interpreter,B1,en,tolk,[tålk],Slavic via German,person som har som yrke å oversette; person som muntlig oversetter fra ett språk til ett eller flere andre,
interpret,B1,verb,tolke,[tå`lkə],Slavic via German,oversette muntlig,
interpretation,B1,ei,tolkning ,,Slavic via German,"det å tolke",Læreren la frem to tolkninger av diktet.
"customs, import tax",B1,en,toll,,Greek via Latin via Old Norse: tollr,"avgift på varer som blir innført fra andre land",
dutiable,B2,adjective,tollpliktig,,,som det skal betales toll for,
twelve,A1,numeral,tolv,[tål:],,grunntallet 12,Året har tolv måneder.
twelfth,A2,adjective,tolvte,,Old Norse: tolfti,ordenstall til tolv (12.),"Vi bor i den tolvte etasjen, så vi har en fantastisk utsikt over byen."
empty,A1,adjective,tom,"[tom:], [tåm:]",,som er uten innhold; som mangler innhold eller substans,Kjøleskapet er helt tomt.
tomato,A1,en,tomat,[toma:´t],Nahuatl via Spanish,"(frukt av) plante i søtvierfamilien, Lycopersicon esculentum",Jeg trenger en tomat til salaten.
tomato sauce,A1,en,tomatsaus,,Nahuatl via Spanish,"(varm) saus av tomater; saus laget hovedsakelig av tomater, og den er en grunnleggende ingrediens i mange retter rundt om i verden",Spaghetti med tomatsaus er favoritten min.
emptiness,B2,ei,tomhet ,,,innholdsløshet; det å være tom,
empty,A2,verb,tømme ,,,"fjerne innholdet fra, gjøre tom",Kan du tømme søpla før vi drar?
thumb,A2,en,tommel,,,"tommelfinger",Tommelen min gjør vondt etter å ha jobbet med verktøy hele dagen.
thumb,A2,en,tommelfinger,,,"toleddet, tykk finger som kan stilles mot de andre fingrene og gi grep",Han skadet tommelfingeren mens han spilte basketball.
rule of thumb,B1,en,tommelfingerregel,,,lettfattelig huskeregel; enkel og generell retningslinje eller regel som er lett å huske og bruke i forskjellige situasjoner,
plot,B1,ei,tomt,,,"grunn der det står, har stått eller skal stå hus","Huset er revet, og det skal bygges boligblokk på tomta."
tone,A2,en,tone,[to:`nə],Greek via Old Norse: tóni,"lyd som er dannet av regelmessige svingninger",Pianisten spilte en vakker tone på klaveret.
influential,B2,adjective,toneangivende ,,Greek via Old Norse,"ledende, som bestemmer moten","Det jeg gjør, blir ikke sett på som kunst blant de toneangivende innen kunstlivet."
tone-deaf,B2,adjective,tonedøv,,,som ikke har evne til å oppfatte eller gjengi (visse) toner,
"tone, intonation",B2,et,tonefall,,Greek via Old Norse,"talemelodi; bølge av toner; aksent; tonelag; tonem; en persons måte å tale på (i en bestemt situasjon, som uttrykk for en bestemt følelse); setningsmelodi, intonasjon karakteristisk for et språk eller en dialekt; tone i litterært verk",Hun sa det i et muntert tonefall.
music,C,en,tonekunst,,Greek via Old Norse,musikk som kunstart,
musician,C,en,tonekunstner,,Greek via Old Norse,musiker; komponist,
toneme,C,et,tonem,[tone:´m],Greek via Old Norse,"tonegang som er karakteristisk for de fleste norske og svenske dialekter, og som skiller ellers likelydende ord fra hverandre",
"tonic, tonic water",A2,en,tonic,[tå´n:ik],,"kullsyreholdig leskedrikk av vann tilsatt sukker, kinin og sitronsyre; hudvann",Hun liker å drikke gin med tonic.
barrel,B1,ei,tønne,,,"sylinderformet beholder med utbuede vegger",Vi trenger ei tønne med vann til hytta.
top,A2,en,topp,[tåp:],Old Norse: toppr,"øverste del av noe",Det er bare toppen av isfjellet. 
best,A2,adjective,topp,[tåp:],Old Norse: toppr,"maksimal, av beste sort, på toppnivå",Hun leverte en topp innsats i konkurransen.
top floor,B2,en,toppetasje,,Old Norse,øverste etasje på en høy bygning,Vi bor i toppetasjen med flott utsikt over byen.
top speed,B2,en,toppfart,,Old Norse,"høyeste (mulige) fart, særlig for fremkomstmiddel",
top secret,B2,adjective,topphemmelig,,Old Norse,som er underlagt høyeste grad av hemmeligholdelse,"Informasjonen er topphemmelig, så ikke del den med noen."
top of the skull,B2,et,topplokk,,Old Norse,lokk over sylindertoppene i en motor,Mekanikeren byttet ut topplokket på motoren.
summit,B2,et,toppmøte,,Old Norse,møte mellom statsoverhoder,Statslederne møttes for et toppmøte om klimaendringer.
top-heavy,B2,adjective,topptung,,Old Norse,"tung i toppen; i overført betydning, om organisasjon eller lignende: med tallrik ledelse","Organisasjonen er litt topptung, med for mange ledere."
Torah,B2,en,tora,[to:´ra],"Hebrew: ""lov""",jødisk betegnelse på de fem Mosebøkene,De studerte Toraen i mange år for å forstå den bedre.
thunder,A2,en,torden,"[to`r-d(ə)n], [to´r-d(ə)n]",Old Norse,lyd som kommer av at lufta utvider seg raskt i forbindelse med lyn,Vi hørte kraftig torden i det fjerne.
thundercloud,B1,ei,tordensky,,Old Norse,"(lavthengende) mørk sky, skymasse som inneholder elektrisitet som gir torden og kraftig regn",Ei stor tordensky dekket himmelen.
thunderstorm,B1,et,tordenvær,,Old Norse,vær med lyn og torden,Tordenværet kom plutselig og varte hele natten.
"city square, marketplace",A2,et,"torg, torv",[tårg],Old Norse: torg,"stor, åpen plass i en by","Jeg ble sendt på torget for å skrive om prisene på frukt og bær, grønnsaker og egg."
drying,B2,en,tørk,,,"det å tørke(s), det å bli tørr",Vind og sol gir god tørk.
"tissue, paper towel",B1,et,tørk,,,"papirbit (til å tørke (seg) med) mellom to perforerte streker i en papirrull",
"dry, wipe",A2,verb,tørke ,[tø`rkə],,gjøre tørr,Jeg må tørke tallerkenene før jeg setter dem bort.
drought,B2,ei,tørke ,[tø`rkə],,langvarig tørt vær,Landbruket lider under den verste tørken på ti år.
"small farm, cottage",B2,et,torp ,,,"liten gård, småbruk",Familien har et lite torp ute på landet.
dry,A2,adjective,tørr,,,som ikke inneholder eller er dekket av væte,Vinen er veldig tørr og passer godt til maten.
dare,B1,verb,"tørre, tore",[tø`r:ə],Old Norse: þora,våge,"De torde ikke forstyrre henne. Hva gjør dere her, om jeg tør spørre?"
"drain, dry out",B2,verb,tørrlegge ,,,"gjøre tørr, lede bort væte",De bestemte seg for å tørrlegge elven under arbeidet.
Thursday,A1,en,torsdag,[tå:´ʃdag],Old Norse: þórsdagr,"fjerde dag i uka",Vi skal på kino på torsdag kveld.
"cod, codfish",A2,en,torsk ,[tåʃk],Old Norse: þorskr,"fisk av torskefamilien, Gadus morhua",Torsken vi fikk til middag var helt fantastisk.
thirsty,A1,adjective,tørst,,Old Norse: þyrstr,som føler tørst,De var både sultne og tørste etter turen.
thirst,B1,en,"tørst, tørste",,Old Norse,"trang til å drikke, behov for væske",
tortellini,B1,en,tortellini,[tår-təli:´ni],Italian,ring av pasta fylt med for eksempel ost eller kjøtt,Jeg elsker tortellini med ricotta og spinat.
tortilla,B1,en,tortilla,[tårti´lja],Spanish,"tynn, flat maispannekake, vanlig i Latin-Amerika",Vi lager taco med ferske tortillas.
torture,B2,en,tortur,"[tårtu:´r], [tortu:´r]",Latin via French,fysisk eller psykisk mishandling for å tvinge noen til å tilstå eller til å gi viktige opplysninger; pine,Fangene led under grusom tortur i fangenskapet.
torture,B2,verb,torturere,,Latin via French,"utsette for tortur",De prøvde å torturere informasjonen ut av ham.
slut,B2,ei,tøs,,,"løsaktig, oftest prostituert kvinne",Hun ble dessverre kalt en tøs på grunn av rykter.
slutty,C,adjective,tøsaktig,,,som minner om en tøs,Noen mente klærne hans så tøsaktige ut.
slutty,B2,adjective,"tøsete, tøset",,,tøsaktig,Han var litt tøsete etter et par glass vin.
"two-sided, bilateral",B2,adjective,tosidig,,Old Norse: tvá,"som gjelder to parter, bilateral","Diskusjonen hadde en tosidig natur, med gode poenger på begge sider."
double-digit,B2,adjective,tosifret,,Old Norse: tvá,tall som består av to sifre,47 er et tosifret tall.
"fool, idiot, jerk",B1,en,tosk ,[tåsk],Old Norse: þoskr,"dum, ubegavet person",For en tosk jeg var som glemte å ta med billettene!
bilingual,B2,adjective,tospråklig,,Old Norse: tvá,"som har to språk som morsmål, bilingval; som behersker to språk; som er på to språk",Han er tospråklig og snakker både engelsk og spansk flytende.
two-state solution,B2,ei,tostatsløsning,,,betegnelse på en foreslått løsning av Palestina-spørsmålet som går ut på at det etableres to selvstendige stater – én jødisk (Israel) og én arabisk (Palestina),Mange håper fortsatt på en tostatsløsning i konflikten.
total,B2,en,total,[tota:´l],Latin,"totalbeløp, totalsum",Summen ble en total på over fem tusen kroner.
total,B1,adjective,total,[tota:´l],Latin,"hel, fullstendig",Vi opplevde en total solformørkelse i går.
overall picture,B2,et,totalbilde,,,"helhetlig bilde; samlet, helhetlig oversikt, fremstilling",
totalitarian,C,adjective,totalitær ,,Latin,diktatorisk,Landet ble styrt av et totalitært regime.
totalitarianism,C,en,totalitarisme,,Latin,totalitær styreform,Totalitarisme fører ofte til undertrykkelse av befolkningen.
totality,C,en,totalitet,,Latin,"helhet, helhetsbilde",Hun følte en totalitet i erfaringene som ble delt på møtet.
"cloth, clothes",A2,et,tøy ,[tøi],,sett av gjenstander som hører sammen eller en enkelt gjenstand brukt eller bestemt som redskap til et visst formål; vevd stoff,Han kjøpte fint tøy til å sy en ny kjole.
stretchiness,B2,en,tøy ,[tøi],,"tøyning, strekk; tøyelighet, elastisitet",
"stretch, extend",B1,verb,tøye ,[tøi`ə],,"gjøre lengre eller videre, dra, strekke",Jeg må tøye musklene etter treningen.
"stretchable, elastic",B2,adjective,tøyelig,,,"som lar seg tøye, smidig, vid",Gummien er veldig tøyelig og lett å forme.
"bridle, rein in",B2,verb,tøyle,,,"styre (med tøylene), beherske, ha kontroll over",Du må lære å tøyle sinnet ditt i slike situasjoner.
"bridle, rein",B2,en,tøyle,,,"reim (festet til bisselet) til å styre (hest) med",Han mistet tøylene og hesten løp av gårde.
"unbridled, unruly",B2,adjective,tøylesløs,,,"løssluppen, ubehersket, vill",Han hadde en tøylesløs oppførsel på festen.
foolishness,B1,et,tøys,,,"sludder, vrøvl, tull, (dumt) påfunn, spøk","Det han sa var bare tøys, det gir ingen mening."
fool around,B1,verb,tøyse,,,"somle, rote, skusle; tulle, tøve; spøke, holde leven","Slutt å tøyse, vi må fokusere på arbeidet."
"fool, joker",B2,ei,tøyse ,,,"tøyset jente eller kvinne",Hun er alltid en tøyse når hun er sammen med vennene sine.
"foolish, silly",B2,adjective,"tøysete, tøyset",,,"spøkefull; vrøvlet, tullete","Han oppførte seg tøysete i klassen, til lærernes irritasjon."
"slut, floozy",C,ei,tøyte,,,løsaktig kvinne,"Noen påstår at hun oppfører seg som ei tøyte, men det er bare sladder."
